Date,ID,TAC,UP,UPMin,UPNorm,UPPlus,accPerf,actRew,age,allASS,block,boatType,cBal,catchTrial,cond,cp,distMean,driftConc,hit,initiationRTs,memErr,memErrMin,memErrNorm,memErrPlus,oddBall,oddballProb,outT,outcome,perf,pred,predErr,predErrMin,predErrNorm,predErrPlus,predT,rew,sex,sigma,timestampOffset,timestampOnset,timestampPrediction,trial,triggers,vola
2021-11-03,841921,1,33.69006752597977,0,0,0,2.5,0,34,0.5,1,NA,1,0,ODDBALL,NA,95.46758381710515,18.775,0,NA,NA,NA,NA,NA,0,0.14,NA,96.76200409514217,0,326.30993247402023,130.45207162112195,NA,NA,NA,1306,0.5,2,18.775,NA,NA,NA,1,NA,NA
2021-11-03,841921,2,4.467159061389282,0,0,0,2.5,0,34,0.5,1,NA,1,0,ODDBALL,NA,100.99719773221364,18.775,0,NA,NA,NA,NA,NA,0,0.14,NA,35.79162309732604,0,321.84277341263095,73.94884968469512,NA,NA,NA,943,0.5,2,18.775,NA,NA,NA,2,NA,NA
2021-11-03,841921,3,76.10697632849593,0,0,0,2.5,0.5,34,0.5,1,NA,1,0,ODDBALL,NA,29.617182568632877,18.775,1,NA,NA,NA,NA,NA,0,0.14,NA,26.357731722082022,0.5,37.94974974112686,11.592018019044836,NA,NA,NA,957,0.5,2,18.775,NA,NA,NA,3,NA,NA
2021-11-03,841921,4,3.7296445512498195,0,0,0,2.5,0.5,34,0.5,1,NA,1,0,ODDBALL,NA,26.87791069449508,18.775,1,NA,NA,NA,NA,NA,0,0.14,NA,50.84147063349215,0.5,41.67939429237668,9.162076341115473,NA,NA,NA,1001,0.5,2,18.775,NA,NA,NA,4,NA,NA
2021-11-03,841921,5,0,0,0,0,2.5,0,34,0.5,1,NA,1,0,ODDBALL,NA,23.478347766698157,18.775,0,NA,NA,NA,NA,NA,0,0.14,NA,78.74952890823927,0,41.67939429237668,37.07013461586259,NA,NA,NA,1103,0.5,2,18.775,NA,NA,NA,5,NA,NA
2021-11-03,841921,6,62.566211628064714,0,0,0,2.5,0,34,0.5,1,NA,1,0,ODDBALL,NA,36.22821329432698,18.775,0,NA,NA,NA,NA,NA,0,0.14,NA,58.180659810026924,0,104.24560592044139,46.06494611041447,NA,NA,NA,1001,0.5,2,18.775,NA,NA,NA,6,NA,NA
2021-11-03,841921,7,38.92246909077846,0,0,0,2.5,0.5,34,0.5,1,NA,1,0,ODDBALL,NA,4.942571257089455,18.775,1,NA,NA,NA,NA,NA,0,0.14,NA,44.12822669837176,0.5,65.32313682966293,21.194910131291167,NA,NA,NA,597,0.5,2,18.775,NA,NA,NA,7,NA,NA
2021-11-03,841921,8,23.422768950194232,0,0,0,2.5,0,34,0.5,1,NA,1,0,ODDBALL,NA,28.732044581555407,18.775,0,NA,NA,NA,NA,NA,0,0.14,NA,81.5753217891916,0,41.900367879468696,39.67495390972291,NA,NA,NA,495,0.5,2,18.775,NA,NA,NA,8,NA,NA
2021-11-03,841921,9,14.409564594551526,0,0,0,2.5,0,34,0.5,1,NA,1,0,ODDBALL,NA,11.058123126343908,18.775,0,NA,NA,NA,NA,NA,0,0.14,NA,77.34568382453197,0,56.30993247402022,21.035751350511752,NA,NA,NA,531,0.5,2,18.775,NA,NA,NA,9,NA,NA
2021-11-03,841921,10,16.42059976385783,0,0,0,2.5,0.5,34,0.5,1,NA,1,0,ODDBALL,NA,9.076094021232414,18.775,1,NA,NA,NA,NA,NA,0,0.14,NA,61.11383975253733,0.5,72.73053223787805,11.616692485340721,NA,NA,NA,565,0.5,2,18.775,NA,NA,NA,10,NA,NA
