"build","experimentName","subject","date","time","blockcode","trialcode","list.Condition.currentvalue","cond","condcolor","percentTrialsStay","practiceblock","cannon","driftConc","blocknum","trialnum","StaySwitch","TAC","hitmiss","angmu","outcome","placementAngle","prev_placementAngle","trial.placeshield_mouse.latency","cannonballs_caught","cannonballs_missed","totalearnings","angleup","angledown","outcomeindex","UP","distmean","shield_size","blockearnings","picture.wall.stimulusonset","shape.responsearea.stimulusonset","picture.cannonball.stimulusonset","picture.shield_center.stimulusonset","picture.shield.stimulusonset","picture.shield.currentitem"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","InstructionBlock","Phase_starts","","0","0","0.8599999999999999867","1","1","18.7749999999999985789","0","0","0","0","0","0","0","0","0","0","0","0","0","3","-3","0","0","0","3","0","-1","-1","-1","-1","-1","Arc5.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","InstructionBlock","Instructions_BeginTask","","0","0","0.8599999999999999867","1","1","18.7749999999999985789","0","0","0","0","0","0","0","0","0","0","0","0","0","3","-3","0","0","0","3","0","-1","-1","-1","-1","-1","Arc5.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","InstructionBlock","Instructions_PlaceShield_delay","","0","0","0.8599999999999999867","1","1","18.7749999999999985789","0","0","0","0","0","0","0","0","0","0","0","0","0","3","-3","0","0","0","3","0","1","1","-1","1","-1","Arc5.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","InstructionBlock","Instructions_PlaceShield_delay","","0","0","0.8599999999999999867","1","1","18.7749999999999985789","0","0","0","0","0","0","0","0","0","0","0","0","0","3","-3","0","0","0","3","0","2","2","-1","2","-1","Arc5.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","InstructionBlock","Instructions_PlaceShield_delay","","0","0","0.8599999999999999867","1","1","18.7749999999999985789","0","0","0","0","0","0","0","0","0","0","0","0","0","3","-3","0","0","0","3","0","1","1","-1","1","-1","Arc5.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","InstructionBlock","lockin","","0","0","0.8599999999999999867","1","1","18.7749999999999985789","0","0","0","0","0","0","0","0","0","0","0","0","0","3","-3","0","0","0","3","0","1","1","-1","1","-1","Arc5.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","InstructionBlock","Instructions_PlaceShield","","0","0","0.8599999999999999867","1","1","18.7749999999999985789","0","0","0","0","0","0","0","360","0","0","0","0","0","3","-3","0","0","0","3","0","8","8","-1","1","-1","Arc5.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","InstructionBlock","Instructions_CannonOutcome","","0","0","0.8599999999999999867","1","1","18.7749999999999985789","0","0","0","0","0","0","0","360","0","0","0","0","0","3","-3","0","0","0","3","0","10","8","10","10","-1","Arc5.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","InstructionBlock","cannon_outcome","","0","0","0.8599999999999999867","1","1","18.7749999999999985789","0","0","0","0","1","0","0","360","0","0","0","0","0","3","-3","3","0","0","3","0","10","8","10","10","-1","Arc5.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","InstructionBlock","Instructions_RevealShield","","0","0","0.8599999999999999867","2","1","18.7749999999999985789","0","0","0","0","1","0","0","360","0","0","0","0","0","3","-3","3","0","0","3","0","10","8","10","10","-1","Arc5.png"
